representation,nodes,edges,degree_2,endpoints,junctions,high_degree,components,cycle_rank,branches,physical_length_mm,dense_length_mm,relative_length_error,nodes_per_dense_mm,junctions_per_dense_mm,length_weighted_absolute_branch_length_error_fraction,length_weighted_tortuosity_error,closed_or_degenerate_branches,junction_angle_mae_deg,curve_acd_mm,curve_hd95_mm,curve_f1_0.5mm,curve_f1_1mm,curve_f1_2mm,dataset,modality,site,stratum,subject,split,spacing_x_mm,spacing_y_mm,spacing_z_mm
junction_only,279,363,0,70,209,28,1,85,363,2974.2521600880928,4978.105148950628,-0.4025332790097739,0.056045421229965885,0.04198384601097803,0.40253327900977304,1.2327323801657577,1,25.822679370663256,2.915950051855594,12.254994638280097,0.2553908153138252,0.3774871089188134,0.536266864632751,ixi,mra,HH,IXI-HH,IXI013-HH-1212-MRA_IXI-HH,train,0.46874998,0.46874999,0.79999996
adaptive,1220,1304,941,70,209,28,1,85,363,4214.086264241609,4978.105148950628,-0.15347584308661552,0.24507316810235977,0.04198384601097803,0.15347584308661502,0.35411344819809887,1,19.442145709473394,0.2902124594911042,0.6483614827088681,0.876042268950852,0.9969323362863711,1.0,ixi,mra,HH,IXI-HH,IXI013-HH-1212-MRA_IXI-HH,train,0.46874998,0.46874999,0.79999996
dense,6797,6881,6518,70,209,28,1,85,363,4978.105148950628,4978.105148950628,0.0,1.3653789537637209,0.04198384601097803,0.0,0.0,1,0.0,1.968517136492593e-15,4.4480550639232325e-15,1.0,1.0,1.0,ixi,mra,HH,IXI-HH,IXI013-HH-1212-MRA_IXI-HH,train,0.46874998,0.46874999,0.79999996
junction_only,281,367,0,73,208,36,2,88,367,2890.6841966556367,4409.851756256361,-0.34449402010973396,0.06372096286487151,0.04716711841954902,0.3444940201097329,0.6953147176131081,1,24.00570951980246,2.24767887529308,9.94087383147799,0.2900323626237488,0.44183845597739174,0.6179798914643895,ixi,mra,IOP,IXI-IOP,IXI035-IOP-0873-MRA_IXI-IOP,train,0.46000001,0.46000002,0.80000002
adaptive,1047,1133,766,73,208,36,2,88,367,3698.491571387356,4409.851756256361,-0.16131158691667616,0.23742294704455683,0.04716711841954902,0.16131158691667594,0.2800841954749865,1,18.67563419699001,0.29251103164163317,0.6872176362378983,0.8670432103707165,0.9935099254339564,1.0,ixi,mra,IOP,IXI-IOP,IXI035-IOP-0873-MRA_IXI-IOP,train,0.46000001,0.46000002,0.80000002
dense,6072,6158,5791,73,208,36,2,88,367,4409.851756256361,4409.851756256361,0.0,1.3769170338629886,0.04716711841954902,0.0,0.0,1,0.0,1.7185274981457718e-15,4.0384059021175725e-15,1.0,1.0,1.0,ixi,mra,IOP,IXI-IOP,IXI035-IOP-0873-MRA_IXI-IOP,train,0.46000001,0.46000002,0.80000002
junction_only,265,316,0,97,168,28,6,57,316,2962.6815973353387,4284.2538325456235,-0.30847197361904005,0.0618544116100007,0.03921336283200044,0.30847197361903883,0.5312418351912567,0,25.42633440175908,2.444255120558389,11.009261869591295,0.2672446227982259,0.4178886666600843,0.6103309943632762,ixi,mra,Guys,IXI-Guys,IXI041-Guys-0706-MRA_IXI-Guys,train,0.46875009,0.46875003,0.80000001
adaptive,1032,1083,767,97,168,28,6,57,316,3663.830919721061,4284.2538325456235,-0.1448146951778342,0.24088208596800273,0.03921336283200044,0.14481469517783346,0.22361810087133302,0,19.687238018574146,0.27585604138138187,0.6117284659847947,0.8951052216560484,0.9984447041609739,1.0,ixi,mra,Guys,IXI-Guys,IXI041-Guys-0706-MRA_IXI-Guys,train,0.46875009,0.46875003,0.80000001
dense,5905,5956,5640,97,168,28,6,57,316,4284.2538325456235,4284.2538325456235,0.0,1.3783030209700156,0.03921336283200044,0.0,0.0,0,0.0,3.56481632990953e-15,1.0940239444411507e-14,1.0,1.0,1.0,ixi,mra,Guys,IXI-Guys,IXI041-Guys-0706-MRA_IXI-Guys,train,0.46875009,0.46875003,0.80000001
junction_only,181,249,0,37,144,25,5,73,249,1511.6856493736586,2369.315356566231,-0.36197364137946847,0.07639337646564584,0.06077705088979559,0.36197364137946897,0.9552793840775748,7,30.902645901017575,2.387169954293721,12.014123263817947,0.3469179654464178,0.49554141218595016,0.6407247831394071,topbrain,ct,CT,TopBrain-CT,topcow_ct_001,train,0.50781298,0.50781298,0.625
