representation,anchor_a,anchor_b,parallel_branch_index,dense_length_mm,length_mm,absolute_length_error_mm,absolute_arc_chord_tortuosity_error,reference_samples,representation_samples,subject,stratum
junction_only,0,1,0,6.730271196042709,4.8560893735501045,1.8741818224926048,0.38594467241496855,28,21,topcow_ct_005,TopBrain-CT
junction_only,0,2,0,14.85100779628403,10.769754401251742,4.081253395032288,0.37895510361479867,61,45,topcow_ct_005,TopBrain-CT
junction_only,0,78,0,4.7619111577918565,3.7200709969913546,1.041840160800502,0.2800592143652906,21,16,topcow_ct_005,TopBrain-CT
junction_only,1,11,0,15.55276711827685,10.428107324115976,5.124659794160875,0.49142760377135924,64,43,topcow_ct_005,TopBrain-CT
junction_only,1,77,0,10.255704847761166,8.507263670314327,1.7484411774468391,0.2055233322023317,43,36,topcow_ct_005,TopBrain-CT
junction_only,2,6,0,27.468581735638065,13.353473202954774,14.11510853268329,1.0570364966591603,111,55,topcow_ct_005,TopBrain-CT
junction_only,2,76,0,14.46536610815879,10.625462421003439,3.839903687155351,0.3613869716921667,59,44,topcow_ct_005,TopBrain-CT
junction_only,3,14,0,16.325814656527704,10.966395981374761,5.359418675152943,0.4887128537265421,67,45,topcow_ct_005,TopBrain-CT
junction_only,3,80,0,11.169963140520904,7.221983346493625,3.9479797940272796,0.5466614369782616,46,30,topcow_ct_005,TopBrain-CT
junction_only,3,81,0,10.393794284506551,7.156156181153574,3.2376381033529773,0.45242697635353585,43,30,topcow_ct_005,TopBrain-CT
junction_only,4,5,0,9.049405288551213,7.928840779917405,1.1205645086338079,0.14132765933098745,38,33,topcow_ct_005,TopBrain-CT
junction_only,4,5,1,19.273425455360837,7.928840779917405,11.344584675443432,1.4307999101429312,79,33,topcow_ct_005,TopBrain-CT
junction_only,4,17,0,25.614914977256372,17.608567389421903,8.006347587834469,0.4546847799011843,104,72,topcow_ct_005,TopBrain-CT
junction_only,4,82,0,12.031830608343448,10.146921797897935,1.8849088104455127,0.18576163766591713,50,42,topcow_ct_005,TopBrain-CT
junction_only,5,8,0,11.471714969502761,7.894263548467093,3.5774514210356685,0.4531710145058861,47,33,topcow_ct_005,TopBrain-CT
junction_only,6,7,0,7.9112264134010335,6.901179735254057,1.0100466781469768,0.1463585527250137,33,29,topcow_ct_005,TopBrain-CT
junction_only,6,12,0,7.885785991746815,6.2439277142501615,1.6418582774966533,0.2629528003262327,33,26,topcow_ct_005,TopBrain-CT
junction_only,7,8,0,1.698531649874385,1.6023435595441136,0.09618809033027143,0.060029629574345544,8,8,topcow_ct_005,TopBrain-CT
junction_only,7,83,0,5.723824374049886,4.291303205685308,1.4325211683645778,0.3338196113634456,24,19,topcow_ct_005,TopBrain-CT
junction_only,8,9,0,7.514544553157358,6.014813256920368,1.4997312962369902,0.24933962737936516,32,26,topcow_ct_005,TopBrain-CT
junction_only,9,10,0,3.4049290411952224,2.91549688223337,0.48943215896185244,0.16787264014733938,15,13,topcow_ct_005,TopBrain-CT
junction_only,9,11,0,31.019161927064186,10.029963045365932,20.989198881698254,2.0926496724627253,126,42,topcow_ct_005,TopBrain-CT
junction_only,10,13,0,12.212830544904172,8.064713994705965,4.148116550198207,0.5143538323765994,50,34,topcow_ct_005,TopBrain-CT
junction_only,10,79,0,62.53178095233296,28.79552272326811,33.736258229064845,1.1715799901699437,252,117,topcow_ct_005,TopBrain-CT
junction_only,11,13,0,9.87899217489895,7.464760964022894,2.414231210876057,0.32341708227653476,41,31,topcow_ct_005,TopBrain-CT
junction_only,12,13,0,30.32936538053935,21.82142015180053,8.50794522873882,0.38988962081997264,123,89,topcow_ct_005,TopBrain-CT
junction_only,12,15,0,5.917425953495961,5.190281868926412,0.7271440845695487,0.14009722456941542,25,22,topcow_ct_005,TopBrain-CT
junction_only,13,85,0,12.54867008425532,8.650088765124393,3.898581319130928,0.4506984176681873,52,36,topcow_ct_005,TopBrain-CT
junction_only,14,20,0,33.10699937044208,21.925039029059477,11.181960341382606,0.5100086858026579,134,89,topcow_ct_005,TopBrain-CT
junction_only,14,84,0,3.3127405119621356,2.5253838275720586,0.787356684390077,0.31177703594746364,15,12,topcow_ct_005,TopBrain-CT
junction_only,15,16,0,4.133442973711283,2.996060646003557,1.137382327707726,0.3796259362189078,18,13,topcow_ct_005,TopBrain-CT
junction_only,15,19,0,2.531835754508883,2.165655438097783,0.36618031641109994,0.16908521548226374,12,10,topcow_ct_005,TopBrain-CT
junction_only,16,18,0,2.8857396487740905,2.6728000043552176,0.21293964441887292,0.07966912753363384,13,12,topcow_ct_005,TopBrain-CT
junction_only,16,19,0,4.460398088463841,2.6728000043552176,1.7875980841086236,0.6688110151136659,19,12,topcow_ct_005,TopBrain-CT
junction_only,17,18,0,1.899998970766913,1.620580679349612,0.2794182914173009,0.17241862437199973,9,8,topcow_ct_005,TopBrain-CT
junction_only,17,20,0,3.2889130502129884,3.0052139749369347,0.28369907527605376,0.09440228803741246,15,14,topcow_ct_005,TopBrain-CT
junction_only,18,22,0,6.218939022823976,4.863549503143897,1.3553895196800791,0.2786831960492903,26,21,topcow_ct_005,TopBrain-CT
junction_only,19,21,0,3.1191389325160603,2.9006687840102066,0.21847014850585378,0.07531716468635084,14,13,topcow_ct_005,TopBrain-CT
junction_only,20,22,0,16.643050686504566,6.798854776323087,9.84419591018148,1.447919720901195,68,29,topcow_ct_005,TopBrain-CT
junction_only,21,22,0,1.69042714877409,1.6904271487740903,2.220446049250313e-16,1.313541403343289e-16,8,8,topcow_ct_005,TopBrain-CT
junction_only,21,23,0,2.7254373339549582,2.669509643788771,0.05592769016618737,0.020950548088978074,12,12,topcow_ct_005,TopBrain-CT
junction_only,23,24,0,23.926049299249197,7.233117803828616,16.69293149542058,2.307847314001262,97,30,topcow_ct_005,TopBrain-CT
junction_only,23,24,1,8.115816675827388,7.233117803828616,0.8826988719987714,0.12203573838262988,34,30,topcow_ct_005,TopBrain-CT
junction_only,24,25,0,10.609856023924271,8.008494635580709,2.6013613883435625,0.32482526451176597,44,34,topcow_ct_005,TopBrain-CT
junction_only,25,26,0,1.501561470766913,1.3537058510806548,0.14785561968625816,0.10922285633043985,8,7,topcow_ct_005,TopBrain-CT
junction_only,25,32,0,18.619515225855718,14.101216235360916,4.518298990494802,0.3204190982593749,76,58,topcow_ct_005,TopBrain-CT
junction_only,26,27,0,5.755756336899329,4.729325122391275,1.0264312145080536,0.2170354517705609,25,20,topcow_ct_005,TopBrain-CT
junction_only,26,90,0,9.362152698987078,7.385007114290751,1.977145584696327,0.2677242626984538,39,31,topcow_ct_005,TopBrain-CT
junction_only,27,31,0,19.195345303101206,14.458886098418207,4.736459204682999,0.3275811962583456,78,59,topcow_ct_005,TopBrain-CT
junction_only,27,91,0,19.213701530577588,10.505674736072702,8.708026794504885,0.8288879118448869,78,44,topcow_ct_005,TopBrain-CT
junction_only,28,31,0,59.207613939657804,34.45061374776444,24.75700019189336,0.7186229067834788,238,139,topcow_ct_005,TopBrain-CT
junction_only,28,88,0,32.7171629447224,22.456403074902713,10.26075986981969,0.4569191172600175,132,91,topcow_ct_005,TopBrain-CT
junction_only,28,92,0,39.421442409252066,21.12583497332857,18.295607435923497,0.8660300271691868,159,86,topcow_ct_005,TopBrain-CT
junction_only,29,48,0,156.5482669835708,114.85647729221266,41.69178969135815,0.3629903221329676,628,461,topcow_ct_005,TopBrain-CT
junction_only,29,97,0,104.76094086009746,75.85676046279696,28.904180397300507,0.3810363139812201,421,305,topcow_ct_005,TopBrain-CT
junction_only,29,102,0,4.133442973711283,3.4858898752909924,0.6475530984202904,0.1857640721843614,18,15,topcow_ct_005,TopBrain-CT
junction_only,30,39,0,34.888596365297126,16.532477580248106,18.35611878504902,1.110306588709951,141,68,topcow_ct_005,TopBrain-CT
junction_only,30,41,0,20.593391089043763,16.65985904263036,3.9335320464134043,0.23610836300283333,84,68,topcow_ct_005,TopBrain-CT
junction_only,30,86,0,52.97608179619253,25.80442140530378,27.17166039088875,1.0529846790249655,213,105,topcow_ct_005,TopBrain-CT
junction_only,31,44,0,8.416201203031742,6.907822926083514,1.5083782769482275,0.2183579824046566,35,29,topcow_ct_005,TopBrain-CT
junction_only,32,57,0,22.29305128104181,15.190574052321475,7.102477228720334,0.46755818471750965,91,62,topcow_ct_005,TopBrain-CT
junction_only,32,96,0,57.05454325941928,30.60353301352895,26.451010245890334,0.8643123078043667,230,124,topcow_ct_005,TopBrain-CT
junction_only,33,43,0,23.883910200688092,6.609416555720426,17.274493644967666,2.6136185394483356,97,28,topcow_ct_005,TopBrain-CT
junction_only,33,93,0,9.346182456440332,6.769827649671002,2.57635480676933,0.3805643127258247,39,29,topcow_ct_005,TopBrain-CT
junction_only,33,94,0,9.958927679872053,8.045756141875744,1.913171537996309,0.2377864186112758,41,34,topcow_ct_005,TopBrain-CT
junction_only,34,37,0,4.7619111577918565,3.5452656728948044,1.216645484897052,0.3431747003331427,21,16,topcow_ct_005,TopBrain-CT
