stratum,representation,subjects,nodes_median,nodes_p95,degree_2_median,degree_2_p95,curve_f1_0.5mm_median,curve_f1_0.5mm_p95,curve_acd_mm_median,curve_acd_mm_p95,curve_hd95_mm_median,curve_hd95_mm_p95,length_weighted_absolute_branch_length_error_fraction_median,length_weighted_absolute_branch_length_error_fraction_p95,junction_angle_mae_deg_median,junction_angle_mae_deg_p95
IXI-Guys,adaptive,6,1246.0,1345.0,924.5,991.0,0.8915764626255159,0.9066082175790935,0.2728484657449689,0.2781298356780456,0.622337232896927,0.6385920366788165,0.14642529145881528,0.15210151929234406,18.121289868080783,19.22191235259307
IXI-Guys,dense,6,6218.0,6845.5,5905.5,6491.5,1.0,1.0,3.657488438247069e-15,3.781962702960844e-15,1.1063299830913046e-14,1.1367260539822389e-14,0.0,0.0,0.0,0.0
IXI-Guys,junction_only,6,321.5,362.0,0.0,0.0,0.29287507562830273,0.3130740635527072,2.2909775107600576,2.349456673676558,9.955814692711208,10.479888755177127,0.3286441024393427,0.34555129680405,26.07686042804112,26.360694703181665
IXI-HH,adaptive,6,1302.5,1612.5,948.5,1196.25,0.8822204438322243,0.894864384616127,0.28138681591014814,0.3011607794215658,0.6493733761847515,0.7036246291205677,0.14886364799321392,0.15688596713241057,18.489555567792046,19.792874848375813
IXI-HH,dense,6,6873.0,7664.0,6534.0,7251.75,1.0,1.0,3.45323104390975e-15,3.574302182323014e-15,1.0988582431776037e-14,1.1113132342923726e-14,0.0,0.0,0.0,0.0
IXI-HH,junction_only,6,365.5,416.25,0.0,0.0,0.3251603895700318,0.3373847440967479,2.205159865713842,2.767483866008509,9.383230572600752,11.688611555609334,0.3542150942887899,0.3948625876994244,25.682925270665095,27.15321090910033
IXI-IOP,adaptive,6,962.0,1276.25,706.5,948.5,0.8683153442172081,0.8887227164852881,0.2869397372241361,0.29125512980622675,0.6701041316730119,0.6815631084665364,0.16245308944652587,0.16684879755430868,19.042829897691185,20.417028301139347
IXI-IOP,dense,6,5471.0,7111.5,5215.5,6783.75,1.0,1.0,1.825070194537359e-15,1.974759252956144e-15,4.222882123967366e-15,4.798156163448731e-15,0.0,0.0,0.0,0.0
IXI-IOP,junction_only,6,255.5,357.25,0.0,0.0,0.3043033968148723,0.3388884285997246,2.3214674390846852,2.4914886636104256,10.029885545259347,10.919418641738075,0.3368804756213276,0.3600841902475312,25.938012052066902,26.65153929709255
TopBrain-CT,adaptive,6,548.5,649.0,418.0,475.0,0.7568075484348218,0.7827389489236202,0.3631870159412861,0.3883293519905554,0.9119135036586357,0.9950892480324451,0.1526487631582109,0.16916897181230808,18.94557751502831,20.20317202791541
TopBrain-CT,dense,6,3799.0,4704.75,3670.5,4530.75,1.0,1.0,3.857108472327003e-15,5.061884478591488e-15,1.1448502099299426e-14,1.5206879657099168e-14,0.0,0.0,0.0,0.0
TopBrain-CT,junction_only,6,132.0,178.0,0.0,0.0,0.22469137490817084,0.25961272902052257,4.612763848126296,4.9694200262593995,21.331314949545053,29.642141625842772,0.348889378414477,0.3986504219836009,27.561505255484334,29.029169600309785
TopBrain-MR,adaptive,6,651.0,742.0,489.5,566.75,0.8335497424976207,0.8748672401791157,0.31325746129677523,0.3409147629008562,0.8812912070114918,1.01415798787858,0.15799681383828704,0.1611753951590219,18.378399460065673,21.19047036203958
TopBrain-MR,dense,6,5720.5,6911.75,5569.5,6731.25,1.0,1.0,1.5985687359555998e-15,1.9538727139764256e-15,3.919826799493621e-15,4.759723966501553e-15,0.0,0.0,0.0,0.0
TopBrain-MR,junction_only,6,151.0,181.5,0.0,0.0,0.22641789991721872,0.2545815138220577,3.5984524901584924,4.419638830723892,14.594729028567567,19.389144147035513,0.36776613269347636,0.3769769861645431,24.523819738693803,26.871435965572626
