representation,nodes,edges,degree_2,endpoints,junctions,high_degree,components,cycle_rank,branches,physical_length_mm,dense_length_mm,relative_length_error,nodes_per_dense_mm,junctions_per_dense_mm,length_weighted_absolute_branch_length_error_fraction,length_weighted_tortuosity_error,closed_or_degenerate_branches,junction_angle_mae_deg,curve_acd_mm,curve_hd95_mm,curve_precision_0.5mm,curve_recall_0.5mm,curve_f1_0.5mm,curve_precision_1mm,curve_recall_1mm,curve_f1_1mm,curve_precision_2mm,curve_recall_2mm,curve_f1_2mm,dataset,modality,site,stratum,subject,split,spacing_x_mm,spacing_y_mm,spacing_z_mm
junction_only,311,382,0,109,202,44,20,91,382,2842.076861367538,4199.302021166138,-0.32320255912950524,0.07405992672887955,0.04810323215187676,0.32320255912950707,0.5565568308225325,1,26.2469045677691,2.3135281372050542,9.89029981194174,0.3473885960709152,0.25337047353760445,0.2930226692887306,0.4999201405526274,0.3916434540389972,0.43920692091375174,0.6722568279827503,0.5558774373259053,0.6085530113761243,ixi,mra,Guys,IXI-Guys,IXI123-Guys-0774-MRA_IXI-Guys,train,0.46874976,0.46874988,0.80000001
adaptive,1215,1286,904,109,202,44,20,91,382,3597.8686711688665,4199.302021166138,-0.14322221811286973,0.2893337973491597,0.04810323215187676,0.14322221811287014,0.2271322960873506,1,17.55867273948408,0.25889272802640784,0.6017155476018318,0.9313094931824029,0.888133704735376,0.9092093134667796,0.9966555183946488,0.9947632311977715,0.9957084757510354,1.0,1.0,1.0,ixi,mra,Guys,IXI-Guys,IXI123-Guys-0774-MRA_IXI-Guys,train,0.46874976,0.46874988,0.80000001
dense,5723,5794,5412,109,202,44,20,91,382,4199.302021166138,4199.302021166138,0.0,1.3628455326989637,0.04810323215187676,0.0,0.0,1,0.0,3.6968893249037765e-15,1.1124228549308511e-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ixi,mra,Guys,IXI-Guys,IXI123-Guys-0774-MRA_IXI-Guys,train,0.46874976,0.46874988,0.80000001
junction_only,366,457,0,119,247,46,15,106,457,3393.080703256577,4971.2246099886115,-0.31745576403067605,0.07362371019498926,0.049685946497711325,0.31745576403067527,0.6019615962692607,0,26.07624293164963,2.262585686368312,10.611180767309706,0.3742306663098742,0.27334273624823696,0.31592784358669657,0.5301043617875301,0.4167371885284438,0.46663393951031873,0.7029702970297029,0.574330042313117,0.6321723215789001,ixi,mra,Guys,IXI-Guys,IXI111-Guys-0734-MRA_IXI-Guys,train,0.46874991,0.46875006,0.80000001
adaptive,1327,1418,961,119,247,46,15,106,457,4239.322213546179,4971.2246099886115,-0.14722778668496111,0.26693623887636814,0.049685946497711325,0.1472277866849608,0.24467062495945816,0,18.17967687212668,0.2669130245826842,0.6154138157053913,0.9204892966360856,0.8757874941231781,0.8975821751027283,0.9996723460026212,0.998589562764457,0.9991306610237107,1.0,1.0,1.0,ixi,mra,Guys,IXI-Guys,IXI111-Guys-0734-MRA_IXI-Guys,train,0.46874991,0.46875006,0.80000001
dense,6757,6848,6391,119,247,46,15,106,457,4971.2246099886115,4971.2246099886115,0.0,1.3592224311135037,0.049685946497711325,0.0,0.0,0,0.0,3.621638666511033e-15,1.0989325826840616e-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ixi,mra,Guys,IXI-Guys,IXI111-Guys-0734-MRA_IXI-Guys,train,0.46874991,0.46875006,0.80000001
junction_only,332,394,0,119,213,29,21,83,394,3219.638959627166,4713.225744424558,-0.31689269001473325,0.07044008031924517,0.045191979240961515,0.3168926900147347,0.604200786968481,0,25.70010808548954,2.0638582786255535,8.03731960167555,0.34844393917862726,0.25237286442202017,0.2927274819678748,0.5294869972999858,0.4072334898591268,0.4603824528263508,0.7223248543413386,0.5869717254470976,0.6476519875345109,ixi,mra,Guys,IXI-Guys,IXI156-Guys-0837-MRA_IXI-Guys,train,0.46875,0.46875,0.80000001
adaptive,1277,1339,945,119,213,29,21,83,394,4032.955298951555,4713.225744424558,-0.144332243427491,0.27093970652914484,0.045191979240961515,0.14433224342749176,0.2370538910613597,0,18.062902864034886,0.26894961049031674,0.6060746666792666,0.9204991911254911,0.878109701268858,0.8988049299160353,0.9997688929974579,0.9990008991907283,0.9993847485497163,1.0,1.0,1.0,ixi,mra,Guys,IXI-Guys,IXI156-Guys-0837-MRA_IXI-Guys,train,0.46875,0.46875,0.80000001
dense,6460,6522,6128,119,213,29,21,83,394,4713.225744424558,4713.225744424558,0.0,1.3706112013925418,0.045191979240961515,0.0,0.0,0,0.0,3.693338209983105e-15,1.1246518723090252e-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ixi,mra,Guys,IXI-Guys,IXI156-Guys-0837-MRA_IXI-Guys,train,0.46875,0.46875,0.80000001
junction_only,350,438,0,111,239,44,21,109,438,3291.0168581800426,5055.428318097384,-0.34901324851172644,0.06923251166415961,0.04727591510781185,0.34901324851172655,0.8687707078668021,1,26.398624748319186,2.3614328525003927,10.086012718779388,0.35259156876295783,0.2493270212568458,0.29210131408984813,0.5076710435383552,0.3805810823354683,0.4350341295949781,0.6826537664132688,0.538754293140258,0.6022273138069101,ixi,mra,Guys,IXI-Guys,IXI241-Guys-0833-MRA_IXI-Guys,train,0.46875,0.46875,0.80000001
adaptive,1351,1439,1001,111,239,44,21,109,438,4319.2427102622205,5055.428318097384,-0.14562279623266977,0.2672374950236561,0.04727591510781185,0.14562279623266977,0.2800128966767388,1,18.523706984481684,0.27674732099962107,0.6333049921185524,0.9071743573195654,0.864476004826882,0.8853106469008658,0.9988168226309562,0.9974937343358395,0.9981548400339215,1.0,1.0,1.0,ixi,mra,Guys,IXI-Guys,IXI241-Guys-0833-MRA_IXI-Guys,train,0.46875,0.46875,0.80000001
dense,6875,6963,6525,111,239,44,21,109,438,5055.428318097384,5055.428318097384,0.0,1.3599243362602782,0.04727591510781185,0.0,0.0,1,0.0,3.810320495646534e-15,1.1407507812066435e-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ixi,mra,Guys,IXI-Guys,IXI241-Guys-0833-MRA_IXI-Guys,train,0.46875,0.46875,0.80000001
