policy,dataset,subject,patch_index,start_x,start_y,start_z,nodes,edges,topology_nodes,degree2_nodes,boundary_nodes
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,0,0,0,0,0,0,0,0,0
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1,0,0,36,0,0,0,0,0
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,2,0,40,0,12,9,2,6,4
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,3,0,40,36,23,19,4,15,4
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,4,0,80,0,36,35,6,28,2
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,5,0,80,36,85,80,15,64,6
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,6,0,120,0,43,39,5,29,9
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,7,0,120,36,113,109,19,84,10
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,8,0,160,0,96,93,18,62,16
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,9,0,160,36,164,159,28,118,18
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,10,0,200,0,120,122,33,67,20
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,11,0,200,36,126,117,21,83,22
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,12,0,240,0,88,91,26,49,13
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,13,0,240,36,70,67,16,44,10
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,14,0,280,0,20,14,5,8,7
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,15,0,280,36,25,20,6,15,4
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,16,0,308,0,8,7,0,6,2
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,17,0,308,36,9,8,1,7,1
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,18,40,0,0,0,0,0,0,0
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,19,40,0,36,0,0,0,0,0
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,20,40,40,0,14,12,2,8,4
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,21,40,40,36,24,19,4,12,8
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,22,40,80,0,19,16,2,11,6
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,23,40,80,36,38,31,6,20,12
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,24,40,120,0,30,28,3,22,5
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,25,40,120,36,44,38,7,28,9
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,26,40,160,0,67,66,13,41,13
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,27,40,160,36,97,91,17,63,17
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,28,40,200,0,117,122,33,63,21
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,29,40,200,36,94,87,16,57,21
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,30,40,240,0,120,135,36,77,7
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,31,40,240,36,71,69,14,47,10
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,32,40,280,0,17,13,2,9,6
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,33,40,280,36,20,17,4,14,2
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,34,40,308,0,8,7,0,6,2
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,35,40,308,36,9,8,1,7,1
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,36,80,0,0,6,5,2,4,0
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,37,80,0,36,6,5,2,4,0
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,38,80,40,0,29,26,6,19,4
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,39,80,40,36,25,23,4,19,2
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,40,80,80,0,40,39,8,27,5
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,41,80,80,36,30,25,5,18,7
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,42,80,120,0,45,40,7,30,8
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,43,80,120,36,41,37,9,25,7
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,44,80,160,0,39,37,9,21,9
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,45,80,160,36,52,49,10,31,11
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,46,80,200,0,65,66,21,26,18
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,47,80,200,36,83,86,27,42,14
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,48,80,240,0,138,149,50,57,31
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,49,80,240,36,151,156,43,75,33
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,50,80,280,0,78,77,15,45,18
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,51,80,280,36,120,115,21,75,24
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,52,80,308,0,43,39,3,31,9
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,53,80,308,36,73,65,11,51,11
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,54,120,0,0,14,13,2,10,2
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,55,120,0,36,14,13,3,10,1
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,56,120,40,0,35,34,2,29,4
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,57,120,40,36,33,31,2,25,6
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,58,120,80,0,52,49,6,35,11
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,59,120,80,36,29,24,5,17,7
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,60,120,120,0,79,78,19,48,12
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,61,120,120,36,50,48,10,36,4
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,62,120,160,0,51,47,15,23,13
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,63,120,160,36,74,71,12,51,11
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,64,120,200,0,78,75,24,31,23
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,65,120,200,36,90,95,27,53,10
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,66,120,240,0,138,162,56,63,19
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,67,120,240,36,157,173,47,94,16
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,68,120,280,0,85,90,18,55,12
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,69,120,280,36,132,134,25,90,17
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,70,120,308,0,49,45,4,37,8
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,71,120,308,36,81,74,12,59,10
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,72,160,0,0,11,9,0,7,4
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,73,160,0,36,11,9,1,7,3
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,74,160,40,0,21,18,1,13,7
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,75,160,40,36,29,25,2,19,8
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,76,160,80,0,26,24,6,16,4
