index,dataset,modality,source_split,subject,nodes,edges,betti_0,betti_1,elapsed_seconds
0,ixi,mra,train,IXI013-HH-1212-MRA_IXI-HH,1220,1304,1,85,69.00902921400848
1,ixi,mra,train,IXI033-HH-1259-MRA_IXI-HH,1198,1305,7,114,62.097179789998336
2,ixi,mra,train,IXI034-HH-1260-MRA_IXI-HH,1122,1217,4,99,62.28034998700605
3,ixi,mra,train,IXI035-IOP-0873-MRA_IXI-IOP,1047,1133,2,88,59.513818740000715
4,ixi,mra,train,IXI039-HH-1261-MRA_IXI-HH,1339,1472,4,137,67.17830806202255
5,ixi,mra,train,IXI041-Guys-0706-MRA_IXI-Guys,1032,1083,6,57,60.28925667697331
6,ixi,mra,train,IXI043-Guys-0714-MRA_IXI-Guys,1132,1246,4,118,60.18636907500331
7,ixi,mra,train,IXI046-Guys-0824-MRA_IXI-Guys,1083,1196,1,114,57.52901452197693
8,ixi,mra,train,IXI048-HH-1326-MRA_IXI-HH,1367,1469,7,109,71.75330000300892
9,ixi,mra,train,IXI050-Guys-0711-MRA_IXI-Guys,1136,1191,9,64,66.69230318101472
10,ixi,mra,train,IXI054-Guys-0707-MRA_IXI-Guys,978,1012,10,44,56.17176986299455
11,ixi,mra,train,IXI055-Guys-0730-MRA_IXI-Guys,1085,1169,6,90,59.182701173005626
12,ixi,mra,train,IXI058-Guys-0726-MRA_IXI-Guys,1036,1109,12,85,57.157558693987085
13,ixi,mra,train,IXI060-Guys-0709-MRA_IXI-Guys,1017,1099,6,88,50.78114680398721
14,ixi,mra,train,IXI062-Guys-0740-MRA_IXI-Guys,1061,1139,10,88,55.19472592900274
15,ixi,mra,train,IXI064-Guys-0743-MRA_IXI-Guys,1017,1073,12,68,51.259997560991906
16,ixi,mra,train,IXI065-Guys-0744-MRA_IXI-Guys,1227,1306,3,82,59.313656996993814
17,ixi,mra,train,IXI066-Guys-0731-MRA_IXI-Guys,983,1039,17,73,47.648268607998034
18,ixi,mra,train,IXI068-Guys-0756-MRA_IXI-Guys,1386,1481,22,117,59.51806567501626
19,ixi,mra,train,IXI069-Guys-0769-MRA_IXI-Guys,1176,1261,15,100,50.451462342985906
20,ixi,mra,train,IXI070-Guys-0767-MRA_IXI-Guys,1149,1182,19,52,60.93227321500308
21,ixi,mra,train,IXI071-Guys-0770-MRA_IXI-Guys,1242,1315,15,88,56.28151704298216
22,ixi,mra,train,IXI073-Guys-0755-MRA_IXI-Guys,998,1063,13,78,49.65528389601968
23,ixi,mra,train,IXI074-Guys-0771-MRA_IXI-Guys,1278,1379,15,116,70.0415819780028
24,ixi,mra,train,IXI076-Guys-0753-MRA_IXI-Guys,1085,1152,19,86,50.74673436401645
25,ixi,mra,train,IXI077-Guys-0752-MRA_IXI-Guys,1028,1066,20,58,45.19598496702383
26,ixi,mra,train,IXI078-Guys-0751-MRA_IXI-Guys,1369,1452,17,100,60.5074211070023
27,ixi,mra,train,IXI083-HH-1357-MRA_IXI-HH,1165,1262,4,101,57.7094700789894
28,ixi,mra,train,IXI084-Guys-0741-MRA_IXI-Guys,1146,1187,25,66,53.117245686007664
29,ixi,mra,train,IXI085-Guys-0759-MRA_IXI-Guys,1266,1331,22,87,56.1699223779724
30,ixi,mra,train,IXI086-Guys-0728-MRA_IXI-Guys,1431,1495,28,92,64.93808031801018
31,ixi,mra,train,IXI087-Guys-0768-MRA_IXI-Guys,1150,1209,24,83,54.52438705100212
32,ixi,mra,train,IXI091-Guys-0762-MRA_IXI-Guys,1335,1389,24,78,65.49022224900546
33,ixi,mra,train,IXI092-HH-1436-MRA_IXI-HH,1306,1402,3,99,60.563999558013165
34,ixi,mra,train,IXI093-HH-1359-MRA_IXI-HH,1026,1104,3,81,50.96345432501403
35,ixi,mra,train,IXI094-HH-1355-MRA_IXI-HH,1244,1325,5,86,66.07353084700298
36,ixi,mra,train,IXI095-HH-1390-MRA_IXI-HH,1245,1354,7,116,56.975996940018376
37,ixi,mra,train,IXI096-HH-1391-MRA_IXI-HH,1407,1520,6,119,69.9816948499938
38,ixi,mra,train,IXI097-HH-1619-MRA_IXI-HH,1212,1280,8,76,70.47528287800378
39,ixi,mra,train,IXI099-Guys-0748-MRA_IXI-Guys,1199,1271,27,99,64.73264889398706
40,ixi,mra,train,IXI100-Guys-0747-MRA_IXI-Guys,1011,1064,14,67,51.84055240399903
41,ixi,mra,train,IXI102-HH-1416-MRA_IXI-HH,1593,1736,8,151,76.49480386998039
42,ixi,mra,train,IXI103-Guys-0750-MRA_IXI-Guys,1065,1108,23,66,50.97961876899353
43,ixi,mra,train,IXI104-HH-1450-MRA_IXI-HH,1473,1574,13,114,70.50004616900696
44,ixi,mra,train,IXI105-HH-1471-MRA_IXI-HH,1266,1361,17,112,60.144405493017985
45,ixi,mra,train,IXI106-Guys-0760-MRA_IXI-Guys,1109,1157,26,74,56.669555833999766
