sample_id,dataset,modality,subject,split,node_count,edge_count
sample_000021_0117,ixi,mra,IXI071-Guys-0770-MRA_IXI-Guys,train,239,261
sample_000117_0119,ixi,mra,IXI274-HH-2294-MRA_IXI-HH,val,235,247
sample_000073_0032,ixi,mra,IXI165-HH-1589-MRA_IXI-HH,train,228,260
sample_000046_0069,ixi,mra,IXI107-Guys-0761-MRA_IXI-Guys,val,228,251
sample_000073_0033,ixi,mra,IXI165-HH-1589-MRA_IXI-HH,train,224,235
sample_000121_0119,ixi,mra,IXI280-HH-1860-MRA_IXI-HH,train,221,225
sample_000058_0067,ixi,mra,IXI131-HH-1527-MRA_IXI-HH,val,221,256
sample_000094_0067,ixi,mra,IXI218-HH-1815-MRA_IXI-HH,test,221,257
sample_000058_0085,ixi,mra,IXI131-HH-1527-MRA_IXI-HH,val,219,255
sample_000037_0032,ixi,mra,IXI096-HH-1391-MRA_IXI-HH,train,218,246
sample_000107_0011,ixi,mra,IXI254-HH-1705-MRA_IXI-HH,train,214,230
sample_000117_0117,ixi,mra,IXI274-HH-2294-MRA_IXI-HH,val,213,227
sample_000101_0075,ixi,mra,IXI241-Guys-0833-MRA_IXI-Guys,test,211,233
sample_000041_0011,ixi,mra,IXI102-HH-1416-MRA_IXI-HH,train,208,225
sample_000041_0113,ixi,mra,IXI102-HH-1416-MRA_IXI-HH,train,205,221
sample_000069_0069,ixi,mra,IXI159-HH-1549-MRA_IXI-HH,train,204,217
sample_000059_0119,ixi,mra,IXI132-HH-1415-MRA_IXI-HH,train,201,217
sample_000104_0011,ixi,mra,IXI248-HH-1972-MRA_IXI-HH,test,201,209
sample_000004_0033,ixi,mra,IXI039-HH-1261-MRA_IXI-HH,train,198,227
sample_000112_0011,ixi,mra,IXI265-Guys-0845-MRA_IXI-Guys,train,198,206
sample_000059_0069,ixi,mra,IXI132-HH-1415-MRA_IXI-HH,train,197,216
sample_000117_0029,ixi,mra,IXI274-HH-2294-MRA_IXI-HH,val,197,200
sample_000070_0101,ixi,mra,IXI160-HH-1637-MRA_IXI-HH,train,196,200
sample_000107_0029,ixi,mra,IXI254-HH-1705-MRA_IXI-HH,train,196,211
sample_000113_0135,ixi,mra,IXI267-HH-1772-MRA_IXI-HH,train,196,197
sample_000144_0075,ixi,mra,IXI395-IOP-0969-MRA_IXI-IOP,train,196,221
sample_000046_0067,ixi,mra,IXI107-Guys-0761-MRA_IXI-Guys,val,196,219
sample_000057_0075,ixi,mra,IXI130-HH-1528-MRA_IXI-HH,test,196,228
sample_000064_0067,ixi,mra,IXI144-Guys-0788-MRA_IXI-Guys,train,195,229
sample_000059_0101,ixi,mra,IXI132-HH-1415-MRA_IXI-HH,train,194,211
sample_000070_0011,ixi,mra,IXI160-HH-1637-MRA_IXI-HH,train,194,190
sample_000079_0061,ixi,mra,IXI174-HH-1571-MRA_IXI-HH,train,194,215
sample_000117_0101,ixi,mra,IXI274-HH-2294-MRA_IXI-HH,val,194,202
sample_000070_0119,ixi,mra,IXI160-HH-1637-MRA_IXI-HH,train,193,200
sample_000108_0009,ixi,mra,IXI256-HH-1723-MRA_IXI-HH,train,193,207
sample_000043_0027,ixi,mra,IXI104-HH-1450-MRA_IXI-HH,train,192,204
sample_000106_0101,ixi,mra,IXI253-HH-1694-MRA_IXI-HH,train,192,205
sample_000121_0117,ixi,mra,IXI280-HH-1860-MRA_IXI-HH,train,192,205
sample_000076_0131,ixi,mra,IXI168-HH-1607-MRA_IXI-HH,val,192,204
sample_000094_0069,ixi,mra,IXI218-HH-1815-MRA_IXI-HH,test,192,211
sample_000041_0133,ixi,mra,IXI102-HH-1416-MRA_IXI-HH,train,191,203
sample_000069_0067,ixi,mra,IXI159-HH-1549-MRA_IXI-HH,train,191,216
sample_000058_0069,ixi,mra,IXI131-HH-1527-MRA_IXI-HH,val,191,213
sample_000054_0101,ixi,mra,IXI127-HH-1451-MRA_IXI-HH,test,191,207
sample_000021_0119,ixi,mra,IXI071-Guys-0770-MRA_IXI-Guys,train,190,188
sample_000070_0100,ixi,mra,IXI160-HH-1637-MRA_IXI-HH,train,190,205
sample_000121_0011,ixi,mra,IXI280-HH-1860-MRA_IXI-HH,train,190,192
sample_000058_0029,ixi,mra,IXI131-HH-1527-MRA_IXI-HH,val,190,200
sample_000058_0087,ixi,mra,IXI131-HH-1527-MRA_IXI-HH,val,190,211
sample_000037_0033,ixi,mra,IXI096-HH-1391-MRA_IXI-HH,train,189,196
sample_000061_0119,ixi,mra,IXI136-HH-1452-MRA_IXI-HH,train,189,192
sample_000054_0011,ixi,mra,IXI127-HH-1451-MRA_IXI-HH,test,188,191
sample_000054_0119,ixi,mra,IXI127-HH-1451-MRA_IXI-HH,test,188,199
sample_000121_0118,ixi,mra,IXI280-HH-1860-MRA_IXI-HH,train,187,194
sample_000104_0029,ixi,mra,IXI248-HH-1972-MRA_IXI-HH,test,187,196
sample_000070_0067,ixi,mra,IXI160-HH-1637-MRA_IXI-HH,train,186,208
sample_000074_0009,ixi,mra,IXI166-Guys-0846-MRA_IXI-Guys,train,186,191
sample_000111_0101,ixi,mra,IXI263-HH-1684-MRA_IXI-HH,train,186,187
sample_000069_0119,ixi,mra,IXI159-HH-1549-MRA_IXI-HH,train,185,182
sample_000112_0009,ixi,mra,IXI265-Guys-0845-MRA_IXI-Guys,train,185,193
sample_000076_0011,ixi,mra,IXI168-HH-1607-MRA_IXI-HH,val,185,185
sample_000120_0119,ixi,mra,IXI278-HH-1771-MRA_IXI-HH,val,185,190
sample_000144_0074,ixi,mra,IXI395-IOP-0969-MRA_IXI-IOP,train,184,210
