nodes,edges
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,1
2,1
0,0
16,13
16,13
6,5
35,31
33,31
6,4
26,22
24,19
2,1
22,20
23,21
2,1
11,9
10,8
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
4,3
4,3
0,0
13,12
16,14
0,0
28,23
30,27
5,4
59,50
59,52
16,11
61,50
58,48
29,26
70,72
69,67
26,22
38,39
35,34
5,4
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
6,4
6,4
7,4
7,5
10,7
14,10
4,2
5,3
15,9
17,14
17,14
20,11
31,25
29,23
49,45
55,51
44,36
52,51
47,44
28,27
17,13
2,1
4,2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,1
2,1
2,1
24,16
24,16
14,9
18,15
17,13
26,20
7,4
2,1
33,27
2,1
0,0
51,45
2,1
5,3
74,76
27,21
18,12
42,38
40,28
38,28
0,0
31,27
38,33
0,0
19,16
19,18
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3,2
3,2
2,1
34,27
34,28
16,12
36,30
36,30
19,15
11,8
8,5
25,22
4,2
0,0
62,63
5,3
6,4
114,139
33,32
21,22
51,51
59,63
48,50
6,6
62,61
67,66
0,0
36,37
41,44
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,1
2,1
34,36
34,37
10,7
30,29
30,31
14,12
4,3
4,2
20,18
0,0
0,0
33,26
3,2
0,0
65,65
27,19
10,8
40,36
25,22
15,12
6,4
5,3
8,5
0,0
11,9
9,8
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
5,3
5,3
3,2
20,19
20,19
3,2
37,30
38,32
7,5
33,30
43,38
11,7
44,44
47,38
47,44
87,86
79,75
30,24
55,52
46,43
6,3
6,3
4,2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
11,9
11,9
0,0
42,41
41,41
2,1
47,44
51,48
2,1
23,20
28,23
11,7
33,30
32,29
5,3
15,15
16,16
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
