dataset,sample_id,split,foreground_voxels,node_count,edge_count,patient_id,max_interior_depth_voxels,bounding_box_min,bounding_box_max
IXI,sample_000000_0040,train,2,0,0,000000,0,"[33, 63, 50]","[34, 63, 50]"
IXI,sample_000000_0041,train,2,0,0,000000,0,"[33, 63, 14]","[34, 63, 14]"
IXI,sample_000002_0054,train,2,0,0,000002,0,"[61, 63, 51]","[62, 63, 51]"
IXI,sample_000002_0072,train,2,0,0,000002,0,"[25, 63, 51]","[26, 63, 51]"
IXI,sample_000004_0036,train,17,0,0,000004,1,"[47, 0, 61]","[51, 1, 63]"
IXI,sample_000007_0037,train,2,0,0,000007,0,"[63, 48, 39]","[63, 49, 39]"
IXI,sample_000009_0106,train,16,0,0,000009,0,"[0, 18, 50]","[0, 24, 54]"
IXI,sample_000009_0107,train,16,0,0,000009,0,"[0, 18, 14]","[0, 24, 18]"
IXI,sample_000013_0051,train,23,0,0,000013,1,"[0, 60, 18]","[2, 63, 22]"
IXI,sample_000013_0124,train,6,0,0,000013,0,"[36, 58, 63]","[38, 60, 63]"
IXI,sample_000014_0016,train,3,0,0,000014,0,"[63, 0, 13]","[63, 1, 37]"
IXI,sample_000014_0017,train,2,0,0,000014,0,"[63, 0, 1]","[63, 1, 1]"
IXI,sample_000014_0098,train,43,0,0,000014,2,"[0, 5, 55]","[2, 11, 60]"
IXI,sample_000015_0104,train,8,0,0,000015,0,"[63, 59, 53]","[63, 63, 54]"
IXI,sample_000021_0054,train,4,0,0,000021,0,"[60, 63, 53]","[61, 63, 54]"
IXI,sample_000021_0072,train,4,0,0,000021,0,"[25, 63, 53]","[26, 63, 54]"
IXI,sample_000026_0039,train,2,0,0,000026,0,"[63, 8, 61]","[63, 9, 61]"
IXI,sample_000027_0052,train,23,0,0,000027,1,"[56, 0, 61]","[63, 1, 63]"
IXI,sample_000032_0021,train,4,0,0,000032,1,"[24, 62, 31]","[25, 63, 31]"
IXI,sample_000033_0096,train,4,0,0,000033,0,"[63, 0, 57]","[63, 1, 58]"
