dataset,sample_id,split,foreground_voxels,node_count,edge_count,patient_id,max_interior_depth_voxels,bounding_box_min,bounding_box_max
TopBrain_Data_Release_Batches1n2_081425,sample_000170_0095,train,8,0,0,000170,0,"[61, 63, 3]","[63, 63, 23]"
TopBrain_Data_Release_Batches1n2_081425,sample_000170_0261,train,381,0,0,000170,3,"[46, 0, 20]","[62, 3, 34]"
TopBrain_Data_Release_Batches1n2_081425,sample_000170_0262,train,71,0,0,000170,1,"[46, 0, 0]","[63, 21, 34]"
TopBrain_Data_Release_Batches1n2_081425,sample_000170_0265,train,350,0,0,000170,5,"[50, 0, 9]","[63, 6, 16]"
TopBrain_Data_Release_Batches1n2_081425,sample_000170_0341,train,31,0,0,000170,1,"[33, 0, 13]","[63, 4, 63]"
TopBrain_Data_Release_Batches1n2_081425,sample_000170_0488,train,44,0,0,000170,1,"[8, 0, 12]","[21, 1, 15]"
TopBrain_Data_Release_Batches1n2_081425,sample_000170_0690,train,27,0,0,000170,1,"[54, 62, 20]","[61, 63, 23]"
TopBrain_Data_Release_Batches1n2_081425,sample_000170_0765,train,27,0,0,000170,1,"[17, 62, 20]","[24, 63, 23]"
TopBrain_Data_Release_Batches1n2_081425,sample_000170_0872,train,2,0,0,000170,0,"[0, 51, 63]","[0, 52, 63]"
TopBrain_Data_Release_Batches1n2_081425,sample_000170_0877,train,2,0,0,000170,0,"[0, 14, 63]","[0, 15, 63]"
TopBrain_Data_Release_Batches1n2_081425,sample_000171_0101,train,1,0,0,000171,0,"[0, 63, 17]","[0, 63, 17]"
TopBrain_Data_Release_Batches1n2_081425,sample_000171_0122,train,57,0,0,000171,0,"[47, 40, 63]","[63, 43, 63]"
TopBrain_Data_Release_Batches1n2_081425,sample_000171_0128,train,57,0,0,000171,0,"[47, 0, 63]","[63, 3, 63]"
TopBrain_Data_Release_Batches1n2_081425,sample_000171_0174,train,41,0,0,000171,1,"[60, 61, 12]","[63, 63, 19]"
TopBrain_Data_Release_Batches1n2_081425,sample_000171_0192,train,558,0,0,000171,5,"[58, 4, 4]","[63, 30, 14]"
TopBrain_Data_Release_Batches1n2_081425,sample_000171_0206,train,57,0,0,000171,0,"[9, 0, 63]","[25, 3, 63]"
TopBrain_Data_Release_Batches1n2_081425,sample_000171_0327,train,32,0,0,000171,1,"[61, 59, 56]","[63, 63, 59]"
TopBrain_Data_Release_Batches1n2_081425,sample_000171_0328,train,32,0,0,000171,1,"[61, 59, 19]","[63, 63, 22]"
TopBrain_Data_Release_Batches1n2_081425,sample_000171_0333,train,170,0,0,000171,2,"[0, 20, 0]","[63, 63, 60]"
TopBrain_Data_Release_Batches1n2_081425,sample_000171_0334,train,69,0,0,000171,2,"[61, 20, 19]","[63, 28, 23]"
TopBrain_Data_Release_Batches1n2_081425,sample_000171_0418,train,24,0,0,000171,0,"[51, 0, 0]","[57, 4, 0]"
TopBrain_Data_Release_Batches1n2_081425,sample_000171_0429,train,6,0,0,000171,0,"[0, 62, 0]","[1, 63, 1]"
TopBrain_Data_Release_Batches1n2_081425,sample_000171_0441,train,117,0,0,000171,0,"[0, 7, 0]","[63, 45, 5]"
TopBrain_Data_Release_Batches1n2_081425,sample_000171_0447,train,19,0,0,000171,0,"[0, 0, 0]","[4, 6, 0]"
TopBrain_Data_Release_Batches1n2_081425,sample_000171_0496,train,24,0,0,000171,0,"[13, 0, 0]","[19, 4, 0]"
TopBrain_Data_Release_Batches1n2_081425,sample_000171_0564,train,1503,0,0,000171,8,"[54, 50, 0]","[63, 63, 27]"
TopBrain_Data_Release_Batches1n2_081425,sample_000171_0570,train,5606,0,0,000171,9,"[54, 11, 0]","[63, 63, 53]"
TopBrain_Data_Release_Batches1n2_081425,sample_000171_0597,train,7,0,0,000171,0,"[0, 20, 0]","[1, 23, 0]"
TopBrain_Data_Release_Batches1n2_081425,sample_000171_0810,train,273,0,0,000171,2,"[14, 0, 22]","[33, 2, 41]"
TopBrain_Data_Release_Batches1n2_081425,sample_000171_0811,train,65,0,0,000171,1,"[17, 0, 1]","[33, 1, 4]"
TopBrain_Data_Release_Batches1n2_081425,sample_000171_0877,train,68,0,0,000171,4,"[51, 59, 42]","[58, 63, 49]"
TopBrain_Data_Release_Batches1n2_081425,sample_000171_0903,train,39,0,0,000171,1,"[20, 0, 33]","[54, 63, 61]"
TopBrain_Data_Release_Batches1n2_081425,sample_000175_0100,train,148,0,0,000175,2,"[41, 0, 0]","[58, 4, 4]"
TopBrain_Data_Release_Batches1n2_081425,sample_000175_0126,train,151,0,0,000175,2,"[59, 51, 60]","[63, 63, 63]"
TopBrain_Data_Release_Batches1n2_081425,sample_000175_0129,train,212,0,0,000175,2,"[59, 14, 38]","[63, 63, 63]"
TopBrain_Data_Release_Batches1n2_081425,sample_000175_0149,train,2,0,0,000175,0,"[63, 0, 59]","[63, 0, 60]"
TopBrain_Data_Release_Batches1n2_081425,sample_000175_0204,train,17,0,0,000175,1,"[0, 60, 61]","[2, 63, 63]"
TopBrain_Data_Release_Batches1n2_081425,sample_000175_0207,train,607,0,0,000175,3,"[0, 23, 41]","[13, 63, 63]"
TopBrain_Data_Release_Batches1n2_081425,sample_000175_0262,train,2,0,0,000175,0,"[0, 13, 0]","[0, 14, 0]"
TopBrain_Data_Release_Batches1n2_081425,sample_000175_0372,train,95,0,0,000175,2,"[51, 0, 10]","[62, 2, 19]"
TopBrain_Data_Release_Batches1n2_081425,sample_000175_0411,train,95,0,0,000175,2,"[14, 0, 10]","[25, 2, 19]"
TopBrain_Data_Release_Batches1n2_081425,sample_000176_0030,train,10,0,0,000176,0,"[6, 0, 62]","[12, 0, 63]"
TopBrain_Data_Release_Batches1n2_081425,sample_000176_0031,train,186,0,0,000176,2,"[0, 0, 28]","[12, 12, 49]"
TopBrain_Data_Release_Batches1n2_081425,sample_000176_0032,train,153,0,0,000176,2,"[0, 0, 5]","[3, 12, 15]"
TopBrain_Data_Release_Batches1n2_081425,sample_000176_0082,train,16,0,0,000176,1,"[34, 62, 31]","[38, 63, 34]"
TopBrain_Data_Release_Batches1n2_081425,sample_000176_0083,train,3,0,0,000176,0,"[34, 63, 0]","[36, 63, 0]"
TopBrain_Data_Release_Batches1n2_081425,sample_000176_0084,train,20,0,0,000176,1,"[0, 35, 57]","[1, 43, 59]"
TopBrain_Data_Release_Batches1n2_081425,sample_000176_0152,train,3,0,0,000176,0,"[0, 62, 32]","[0, 63, 33]"
TopBrain_Data_Release_Batches1n2_081425,sample_000176_0175,train,211,0,0,000176,3,"[60, 24, 4]","[63, 43, 13]"
TopBrain_Data_Release_Batches1n2_081425,sample_000176_0180,train,60,0,0,000176,1,"[61, 0, 4]","[63, 5, 11]"
TopBrain_Data_Release_Batches1n2_081425,sample_000176_0370,train,15,0,0,000176,0,"[0, 44, 63]","[1, 51, 63]"
TopBrain_Data_Release_Batches1n2_081425,sample_000176_0440,train,327,0,0,000176,2,"[50, 45, 61]","[63, 63, 63]"
TopBrain_Data_Release_Batches1n2_081425,sample_000176_0562,train,5,0,0,000176,0,"[0, 62, 53]","[0, 63, 55]"
TopBrain_Data_Release_Batches1n2_081425,sample_000176_0563,train,5,0,0,000176,0,"[0, 62, 19]","[0, 63, 21]"
TopBrain_Data_Release_Batches1n2_081425,sample_000176_0574,train,4,0,0,000176,0,"[38, 63, 2]","[40, 63, 3]"
TopBrain_Data_Release_Batches1n2_081425,sample_000176_0596,train,16,0,0,000176,0,"[0, 2, 63]","[1, 13, 63]"
TopBrain_Data_Release_Batches1n2_081425,sample_000176_0641,train,17,0,0,000176,1,"[47, 62, 61]","[51, 63, 63]"
TopBrain_Data_Release_Batches1n2_081425,sample_000176_0644,train,3,0,0,000176,0,"[0, 63, 2]","[1, 63, 3]"
TopBrain_Data_Release_Batches1n2_081425,sample_000176_0660,train,1,0,0,000176,0,"[0, 7, 58]","[0, 7, 58]"
TopBrain_Data_Release_Batches1n2_081425,sample_000176_0661,train,1,0,0,000176,0,"[0, 7, 24]","[0, 7, 24]"
TopBrain_Data_Release_Batches1n2_081425,sample_000176_0711,train,17,0,0,000176,1,"[9, 62, 61]","[13, 63, 63]"
TopBrain_Data_Release_Batches1n2_081425,sample_000176_0742,train,18,0,0,000176,1,"[8, 9, 62]","[11, 13, 63]"
TopBrain_Data_Release_Batches1n2_081425,sample_000176_0785,train,40,0,0,000176,1,"[53, 61, 61]","[59, 63, 63]"
TopBrain_Data_Release_Batches1n2_081425,sample_000176_0786,train,59,0,0,000176,2,"[53, 61, 27]","[59, 63, 32]"
TopBrain_Data_Release_Batches1n2_081425,sample_000178_0012,train,6,0,0,000178,2,"[1, 61, 49]","[2, 63, 50]"
TopBrain_Data_Release_Batches1n2_081425,sample_000178_0013,train,6,0,0,000178,2,"[1, 61, 16]","[2, 63, 17]"
TopBrain_Data_Release_Batches1n2_081425,sample_000178_0152,train,3,0,0,000178,0,"[0, 63, 34]","[0, 63, 36]"
TopBrain_Data_Release_Batches1n2_081425,sample_000178_0153,train,3,0,0,000178,0,"[0, 63, 1]","[0, 63, 3]"
TopBrain_Data_Release_Batches1n2_081425,sample_000178_0175,train,29,0,0,000178,1,"[57, 0, 5]","[63, 1, 9]"
TopBrain_Data_Release_Batches1n2_081425,sample_000178_0296,train,521,0,0,000178,3,"[17, 59, 48]","[43, 63, 63]"
TopBrain_Data_Release_Batches1n2_081425,sample_000178_0366,train,37,0,0,000178,1,"[0, 60, 57]","[63, 63, 63]"
TopBrain_Data_Release_Batches1n2_081425,sample_000178_0388,train,6,0,0,000178,0,"[62, 61, 12]","[63, 63, 13]"
TopBrain_Data_Release_Batches1n2_081425,sample_000178_0434,train,10,0,0,000178,0,"[0, 61, 35]","[0, 63, 38]"
TopBrain_Data_Release_Batches1n2_081425,sample_000178_0435,train,152,0,0,000178,2,"[61, 57, 28]","[63, 63, 42]"
TopBrain_Data_Release_Batches1n2_081425,sample_000178_0436,train,504,0,0,000178,4,"[24, 57, 0]","[63, 63, 63]"
TopBrain_Data_Release_Batches1n2_081425,sample_000178_0440,train,417,0,0,000178,3,"[60, 20, 27]","[63, 37, 45]"
TopBrain_Data_Release_Batches1n2_081425,sample_000178_0497,train,9,0,0,000178,0,"[25, 63, 62]","[31, 63, 63]"
TopBrain_Data_Release_Batches1n2_081425,sample_000178_0591,train,164,0,0,000178,3,"[5, 0, 37]","[21, 3, 45]"
TopBrain_Data_Release_Batches1n2_081425,sample_000178_0655,train,63,0,0,000178,1,"[13, 0, 24]","[27, 1, 33]"
TopBrain_Data_Release_Batches1n2_081425,sample_000178_0656,train,9,0,0,000178,0,"[13, 0, 0]","[17, 0, 1]"
TopBrain_Data_Release_Batches1n2_081425,sample_000178_0717,train,22,0,0,000178,1,"[29, 61, 0]","[34, 63, 1]"
TopBrain_Data_Release_Batches1n2_081425,sample_000178_0733,train,1,0,0,000178,0,"[0, 63, 45]","[0, 63, 45]"
TopBrain_Data_Release_Batches1n2_081425,sample_000178_0734,train,1,0,0,000178,0,"[0, 63, 13]","[0, 63, 13]"
TopBrain_Data_Release_Batches1n2_081425,sample_000180_0010,train,40,0,0,000180,1,"[10, 48, 62]","[63, 63, 63]"
TopBrain_Data_Release_Batches1n2_081425,sample_000180_0099,train,4,0,0,000180,0,"[63, 0, 40]","[63, 0, 43]"
TopBrain_Data_Release_Batches1n2_081425,sample_000180_0149,train,697,0,0,000180,5,"[49, 0, 0]","[63, 6, 18]"
TopBrain_Data_Release_Batches1n2_081425,sample_000180_0159,train,34,0,0,000180,1,"[26, 0, 38]","[30, 1, 43]"
TopBrain_Data_Release_Batches1n2_081425,sample_000180_0211,train,176,0,0,000180,2,"[0, 14, 0]","[63, 46, 36]"
TopBrain_Data_Release_Batches1n2_081425,sample_000180_0215,train,21,0,0,000180,1,"[62, 0, 0]","[63, 7, 1]"
TopBrain_Data_Release_Batches1n2_081425,sample_000180_0376,train,55,0,0,000180,1,"[43, 61, 61]","[56, 63, 63]"
TopBrain_Data_Release_Batches1n2_081425,sample_000180_0383,train,156,0,0,000180,1,"[49, 6, 0]","[63, 15, 1]"
TopBrain_Data_Release_Batches1n2_081425,sample_000180_0391,train,53,0,0,000180,0,"[54, 54, 0]","[63, 63, 0]"
TopBrain_Data_Release_Batches1n2_081425,sample_000180_0395,train,308,0,0,000180,1,"[36, 15, 0]","[63, 63, 1]"
TopBrain_Data_Release_Batches1n2_081425,sample_000180_0436,train,55,0,0,000180,1,"[6, 61, 61]","[19, 63, 63]"
TopBrain_Data_Release_Batches1n2_081425,sample_000180_0443,train,627,0,0,000180,1,"[12, 3, 0]","[63, 63, 2]"
TopBrain_Data_Release_Batches1n2_081425,sample_000180_0451,train,168,0,0,000180,0,"[17, 45, 0]","[39, 63, 0]"
TopBrain_Data_Release_Batches1n2_081425,sample_000180_0455,train,413,0,0,000180,1,"[0, 6, 0]","[39, 63, 1]"
