index,dataset,modality,split,subject,image,label,shape_x,shape_y,shape_z,spacing_x,spacing_y,spacing_z
0,ixi,mra,train,IXI013-HH-1212-MRA_IXI-HH,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI013-HH-1212-MRA_IXI-HH.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI013-HH-1212-MRA_IXI-HH.nii.gz,282,388,100,0.46874998,0.46874999,0.79999996
1,ixi,mra,train,IXI033-HH-1259-MRA_IXI-HH,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI033-HH-1259-MRA_IXI-HH.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI033-HH-1259-MRA_IXI-HH.nii.gz,290,385,100,0.46875002,0.46875001,0.80000001
2,ixi,mra,train,IXI034-HH-1260-MRA_IXI-HH,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI034-HH-1260-MRA_IXI-HH.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI034-HH-1260-MRA_IXI-HH.nii.gz,282,384,100,0.46874998,0.46875,0.8
3,ixi,mra,train,IXI035-IOP-0873-MRA_IXI-IOP,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI035-IOP-0873-MRA_IXI-IOP.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI035-IOP-0873-MRA_IXI-IOP.nii.gz,302,381,92,0.46000001,0.46000002,0.80000002
4,ixi,mra,train,IXI039-HH-1261-MRA_IXI-HH,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI039-HH-1261-MRA_IXI-HH.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI039-HH-1261-MRA_IXI-HH.nii.gz,291,413,100,0.46875002,0.46874999,0.8
5,ixi,mra,train,IXI041-Guys-0706-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI041-Guys-0706-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI041-Guys-0706-MRA_IXI-Guys.nii.gz,300,374,100,0.46875009,0.46875003,0.80000001
6,ixi,mra,train,IXI043-Guys-0714-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI043-Guys-0714-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI043-Guys-0714-MRA_IXI-Guys.nii.gz,282,355,100,0.46875003,0.46875003,0.80000001
7,ixi,mra,train,IXI046-Guys-0824-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI046-Guys-0824-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI046-Guys-0824-MRA_IXI-Guys.nii.gz,273,373,100,0.46875,0.46875,0.80000001
8,ixi,mra,train,IXI048-HH-1326-MRA_IXI-HH,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI048-HH-1326-MRA_IXI-HH.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI048-HH-1326-MRA_IXI-HH.nii.gz,289,395,100,0.46875,0.46875,0.80000001
9,ixi,mra,train,IXI050-Guys-0711-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI050-Guys-0711-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI050-Guys-0711-MRA_IXI-Guys.nii.gz,306,381,100,0.46875009,0.46874997,0.80000001
